Date,CSPX.L,VUSA.L,IWDA.AS,VWCE.DE,IMEU.L,EXSA.DE,EUN2.DE,EIMI.L
2023-01-03,394.2799987792969,60.317501068115234,69.16500091552734,91.6500015258789,2377.5,42.849998474121094,39.54999923706055,28.719999313354492
2023-01-04,399.82000732421875,60.8025016784668,69.79000091552734,92.52999877929688,2415.0,43.529998779296875,40.494998931884766,29.270000457763672
2023-01-05,393.8999938964844,60.622501373291016,69.38999938964844,92.16000366210938,2422.0,43.404998779296875,40.314998626708984,29.299999237060547
2023-01-06,400.739990234375,60.89250183105469,70.05500030517578,92.95999908447266,2438.0,43.95500183105469,40.91999816894531,29.780000686645508
2023-01-09,408.19000244140625,61.27750015258789,70.47000122070312,93.58000183105469,2461.75,44.2400016784668,41.43000030517578,30.399999618530273
2023-01-10,402.8999938964844,60.67250061035156,69.7249984741211,92.61000061035156,2448.25,44.01499938964844,41.31999969482422,30.239999771118164
2023-01-11,407.8900146484375,61.54750061035156,70.34500122070312,93.38999938964844,2470.25,44.220001220703125,41.72999954223633,30.40999984741211
2023-01-12,410.4200134277344,61.79750061035156,70.54499816894531,93.66000366210938,2491.0,44.459999084472656,42.03499984741211,30.579999923706055
2023-01-13,410.7099914550781,61.68000030517578,70.7750015258789,94.0,2495.0,44.724998474121094,42.25,30.719999313354492
2023-01-16,413.69000244140625,62.092498779296875,71.13500213623047,94.33999633789062,2510.25,44.92499923706055,42.334999084472656,30.65999984741211
2023-01-17,413.239990234375,61.709999084472656,71.33499908447266,94.62999725341797,2499.0,45.095001220703125,42.5099983215332,30.729999542236328
2023-01-18,409.8900146484375,60.752498626708984,70.93000030517578,94.06999969482422,2491.75,45.17499923706055,42.459999084472656,30.649999618530273
2023-01-19,402.6700134277344,59.657501220703125,69.875,92.93000030517578,2450.5,44.494998931884766,41.69499969482422,30.649999618530273
2023-01-20,407.3599853515625,60.26499938964844,70.37999725341797,93.61000061035156,2463.75,44.650001525878906,41.93000030517578,31.040000915527344
2023-01-23,416.510009765625,61.63999938964844,71.43499755859375,94.93000030517578,2486.25,44.89500045776367,42.27000045776367,31.459999084472656
2023-01-24,415.6199951171875,61.71500015258789,71.28500366210938,94.70999908447266,2491.5,44.82500076293945,42.31999969482422,31.389999389648438
2023-01-25,411.4599914550781,61.022499084472656,70.72000122070312,94.02999877929688,2482.25,44.720001220703125,42.244998931884766,31.309999465942383
2023-01-26,416.6000061035156,61.72249984741211,71.56500244140625,95.16999816894531,2483.0,44.8650016784668,42.5099983215332,31.639999389648438
2023-01-27,421.2699890136719,62.255001068115234,72.2249984741211,95.8499984741211,2484.5,45.029998779296875,42.560001373291016,31.6200008392334
2023-01-30,418.760009765625,62.00749969482422,71.8550033569336,95.31999969482422,2483.5,44.91999816894531,42.349998474121094,31.149999618530273
2023-01-31,418.7300109863281,62.26499938964844,71.79000091552734,95.13999938964844,2490.75,44.814998626708984,42.41999816894531,30.93000030517578
2023-02-01,420.9700012207031,62.619998931884766,71.74500274658203,95.08999633789062,2503.0,44.75,42.47999954223633,31.15999984741211
2023-02-02,433.2799987792969,64.67749786376953,73.44000244140625,97.12999725341797,2543.75,45.400001525878906,43.220001220703125,31.260000228881836
2023-02-03,432.8699951171875,65.61750030517578,73.81999969482422,97.5,2568.5,45.56999969482422,43.35499954223633,30.8799991607666
2023-02-06,426.7200012207031,65.0425033569336,73.44000244140625,96.94000244140625,2543.0,45.189998626708984,42.8849983215332,30.270000457763672
2023-02-07,426.1199951171875,64.89749908447266,73.5999984741211,97.1500015258789,2543.0,45.290000915527344,42.880001068115234,30.280000686645508
2023-02-08,426.3500061035156,64.71499633789062,73.5,97.0199966430664,2540.5,45.415000915527344,42.869998931884766,30.270000457763672
2023-02-09,427.3299865722656,64.42749786376953,73.61000061035156,97.22000122070312,2546.75,45.689998626708984,43.27000045776367,30.579999923706055
2023-02-10,422.3399963378906,64.0824966430664,73.23500061035156,96.7699966430664,2522.0,45.26499938964844,42.81999969482422,30.200000762939453
2023-02-13,427.1700134277344,64.52249908447266,73.74500274658203,97.33999633789062,2542.5,45.685001373291016,43.23500061035156,30.389999389648438
2023-02-14,424.7799987792969,64.0,73.41500091552734,96.95999908447266,2544.75,45.69499969482422,43.23500061035156,30.219999313354492
2023-02-15,427.4200134277344,65.14749908447266,74.05500030517578,97.5999984741211,2574.0,45.904998779296875,43.64500045776367,29.989999771118164
2023-02-16,427.1099853515625,65.09249877929688,73.98500061035156,97.55000305175781,2569.5,45.970001220703125,43.58000183105469,30.190000534057617
2023-02-17,420.05999755859375,64.13249969482422,73.09500122070312,96.41999816894531,2562.0,45.880001068115234,43.3849983215332,29.770000457763672
2023-02-20,421.5,64.1624984741211,73.23999786376953,96.6500015258789,2564.0,45.95500183105469,43.33000183105469,30.110000610351562
2023-02-21,416.1700134277344,62.85749816894531,72.52999877929688,95.68000030517578,2534.5,45.83000183105469,43.125,29.649999618530273
2023-02-22,414.6400146484375,62.942501068115234,72.47000122070312,95.5999984741211,2528.5,45.720001220703125,43.05500030517578,29.389999389648438
2023-02-23,413.3900146484375,62.938751220703125,72.45500183105469,95.62000274658203,2533.25,45.724998474121094,43.20500183105469,29.469999313354492
2023-02-24,410.6300048828125,62.90999984741211,72.0999984741211,94.93000030517578,2516.25,45.20500183105469,42.3849983215332,28.84000015258789
2023-02-27,413.010009765625,62.95500183105469,72.5,95.5199966430664,2530.75,45.79999923706055,43.099998474121094,29.020000457763672
